Date,Description,Category,Amount
2026-01-01,Paycheck,Income,3500
2026-01-02,Rent,Housing,-1200
2026-01-03,Costco,Groceries,-245.67
2026-01-04,Shell Gas,Transportation,-52.14
2026-01-05,Amazon,Shopping,-89.32
2026-01-06,Electric Bill,Utilities,-134.22
2026-01-07,Chipotle,Food,-18.75
2026-01-10,Target,Shopping,-76.44
2026-01-12,Internet Bill,Utilities,-79.99
2026-01-15,Paycheck,Income,3500
2026-01-16,Walmart,Groceries,-198.43
2026-01-18,Home Depot,Home Improvement,-142.89
2026-01-20,Gas Station,Transportation,-48.91
2026-01-22,Restaurant,Food,-62.50
2026-01-25,Car Insurance,Insurance,-110.00
2026-01-27,Pharmacy,Health,-34.76
2026-02-01,Paycheck,Income,3500
2026-02-02,Rent,Housing,-1200
2026-02-03,Kroger,Groceries,-221.19
2026-02-05,Amazon,Shopping,-54.99
2026-02-06,Electric Bill,Utilities,-128.40
2026-02-08,Gas Station,Transportation,-47.21
2026-02-10,Restaurant,Food,-71.22
2026-02-12,Kids Activities,Entertainment,-95.00
2026-02-15,Paycheck,Income,3500
2026-02-18,Costco,Groceries,-267.83
2026-02-20,Home Depot,Home Improvement,-88.50
2026-02-22,Internet Bill,Utilities,-79.99
2026-02-25,Car Payment,Transportation,-410.00
2026-02-27,Doctor Visit,Health,-120.00
